"title","year","source","found","url"
"Robust identification of Alzheimer’s disease subtypes based on cortical atrop...","2017","None",FALSE,NA
"The Alzheimer's Prevention Initiative (API) Generation Program: Evaluating th...","2017","None",FALSE,NA
"The Alzheimer’s Prevention Initiative Generation Program: evaluating CNP520 e...","2017","None",FALSE,NA
"[O5--01--02]: RATIONALE FOR SELECTION OF PRIMARY ENDPOINTS IN THE ALZHEIMER P...","2017","None",FALSE,NA
"[P4--573]: A PHASE 2 MULTICENTER, RANDOMIZED, PLACEBO-CONTROLLED TRIAL TO EVA...","2017","None",FALSE,NA
"A semi-mechanism approach based on MRI and proteomics for prediction of conve...","2016","Unpaywall (publisher)",TRUE,"https://www.jpreventionalzheimer.com/download.html?type=pdf&id=346"
"Demonstration of safety of intravenous immunoglobulin in geriatric patients i...","2016","None",FALSE,NA
"Genetic studies of plasma analytes identify novel potential biomarkers for se...","2016","None",FALSE,NA
"Longitudinal decline in mild-to-moderate Alzheimer's disease: analyses of pla...","2016","None",FALSE,NA
"The Alzheimer's Prevention Initiative Generation Study: A Preclinical Trial i...","2016","None",FALSE,NA
"A randomized, double-blind, placebo-controlled trial of resveratrol for Alzhe...","2015","None",FALSE,NA
"Large-scale genomics unveil polygenic architecture of human cortical surface ...","2015","Unpaywall (publisher)",TRUE,"http://ies.ijo.cn/en_publish/2025/3/20250311.pdf"
"Longitudinal plasma amyloid beta in Alzheimer's disease clinical trials","2015","None",FALSE,NA
"Peripheral and central effects of $\\gamma$-secretase inhibition by semagaces...","2015","None",FALSE,NA
"Resveratrol is safe and well-tolerated in individuals with mild-moderate deme...","2015","None",FALSE,NA
"Safety of Intravenous Immunoglobulin Therapy in Patients with Probable Alzhei...","2015","None",FALSE,NA
"Test-retest resting-state fMRI in healthy elderly persons with a family histo...","2015","Unpaywall (publisher)",TRUE,"https://academic.oup.com/mbe/article-pdf/36/12/2890/31140287/msz183.pdf"
"Using novel methodologies to examine the impact of artificial light at night ...","2015","Unpaywall (publisher)",TRUE,"http://www.thelancet.com/article/S0140673608615822/pdf"
"Alzheimer’s Disease Cooperative Study Steering Committee; Solanezumab study g...","2014","None",FALSE,NA
"Australian imaging, biomarkers, and lifestyle flagship study of ageing; Alzhe...","2014","None",FALSE,NA
"Bayesian Longitudinal Modeling on Placebo Data from Alzheimer’s Disease Clini...","2014","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2010.05.988"
"Clinical trial of an inhibitor of RAGE-A beta interactions in Alzheimer disease","2014","None",FALSE,NA
"Estimating long-term multivariate progression from short-term data","2014","None",FALSE,NA
"F3-02-02: MODELING LONG-TERM DISEASE PROGRESSION WITH COVARIATES","2014","None",FALSE,NA
"P1-357: ADCS EDC: INVESTIGATIONAL PRODUCT MANAGEMENT SYSTEM","2014","None",FALSE,NA
"Phase 3 trials of solanezumab and bapineuzumab for Alzheimer’s disease","2014","None",FALSE,NA
"Phase 3 trials of solanezumab for mild-to-moderate Alzheimer's disease","2014","None",FALSE,NA
"The preclinical Alzheimer cognitive composite: measuring amyloid-related decline","2014","None",FALSE,NA
"A phase 3 trial of semagacestat for treatment of Alzheimer's disease","2013","None",FALSE,NA
"Age and apolipoprotein E genotype influence rate of cognitive decline in nond...","2013","None",FALSE,NA
"Alzheimer’s Disease Cooperative Study Steering Committee, Siemers E, Sethuram...","2013","Unpaywall (publisher)",TRUE,"https://repository.lsu.edu/cgi/viewcontent.cgi?article=4773&context=gradschool_disstheses"
"Establishing the psychometric underpinning of cognition measures for clinical...","2013","None",FALSE,NA
"P1--332: Evaluation of the relationship between TTP488 plasma concentrations ...","2013","None",FALSE,NA
"P3--295: The Placebo Data Analysis in Alzheimer's Disease (AD) and Mild Cogni...","2013","None",FALSE,NA
"P4--157: Adcs electronic data capture: Collaborative development and manageme...","2013","None",FALSE,NA
"Preclinical trials in autosomal dominant AD: implementation of the DIAN-TU trial","2013","None",FALSE,NA
"Putting the Alzheimer's cognitive test to the test II: Rasch Measurement Theory","2013","None",FALSE,NA
"A Garden before the Garden: Landscape, History and the National Botanic Garde...","2012","None",FALSE,NA
"Alzheimer’s Disease Cooperative Study. Antioxidants for Alzheimer disease: a ...","2012","None",FALSE,NA
"Alzheimer’s disease therapeutic trials: EU/US Task Force report on recruitmen...","2012","None",FALSE,NA
"Antioxidants for Alzheimer disease: a randomized clinical trial with cerebros...","2012","None",FALSE,NA
"Incidence of new-onset seizures in mild to moderate Alzheimer disease","2012","None",FALSE,NA
"O3-13-05: The Gammaglobulin Alzheimer Partnership Study (GAP): Design, screen...","2012","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/82/17/1536.full.pdf"
"P3-364: ADCS EDC","2012","Unpaywall (publisher)",TRUE,"https://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-020-01882-4"
"P3-383: ADCS data sharing","2012","None",FALSE,NA
"P3-384: The placebo data analysis in Alzheimer's disease and mild cognitive i...","2012","None",FALSE,NA
"A phase II trial of huperzine A in mild to moderate Alzheimer disease","2011","None",FALSE,NA
"A randomized, double-blind, placebo-controlled trial of simvastatin to treat ...","2011","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/76/3/280.full.pdf"
"Adding delayed recall to the Alzheimer Disease Assessment Scale is useful in ...","2011","None",FALSE,NA
"Chronic divalproex sodium to attenuate agitation and clinical progression of ...","2011","None",FALSE,NA
"Chronic divalproex sodium use and brain atrophy in Alzheimer disease","2011","None",FALSE,NA
"Dietary self-monitoring and its impact on weight loss in overweight children","2011","None",FALSE,NA
"Omega-3 Fatty Acids for Alzheimer's Disease. What a Pill Can Tell Us about Ea...","2011","None",FALSE,NA
"P3-406: Role of caregiver in subject's compliance with treatment","2011","None",FALSE,NA
"Radiological follow up of perineal repair with cross-linked acellular porcine...","2011","None",FALSE,NA
"Report of the task force on designing clinical trials in early (predementia) AD","2011","None",FALSE,NA
"The relative efficiency of time-to-threshold and rate of change in longitudin...","2011","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2017.07.123"
"Clinical Core of the Alzheimer's Disease Neuroimaging Initiative: progress an...","2010","None",FALSE,NA
"Docosahexaenoic acid supplementation and cognitive decline in Alzheimer disea...","2010","None",FALSE,NA
"O3-01-07: Rate of decline in ADNI normal controls with evidence of amyloid bu...","2010","None",FALSE,NA
"P1-433: Brain volume changes with divalproex sodium in Alzheimer's disease","2010","None",FALSE,NA
"P1-447: Cerebrospinal fluid biomarker outcomes in a trial of docosahexaenoic ...","2010","None",FALSE,NA
"MRI substudy participation in Alzheimer disease (AD) clinical trials: baselin...","2009","None",FALSE,NA
"O1-04-02: A clinical trial of docosahexanoic acid (DHA) for the treatment of ...","2009","None",FALSE,NA
"O1-04-03: The ADCS valproate neuroprotection trial: Primary efficacy and safe...","2009","None",FALSE,NA
"O4-04-07: The ADAS-cog's performance as a measure—lessons from the ADNI study...","2009","None",FALSE,NA
"P1-269: The ADAS-cog's performance as a measure-lessons from the ADNI study: ...","2009","None",FALSE,NA
"P1-270: The ADAS-cog's performance as a measure-lessons from the ADNI study: ...","2009","None",FALSE,NA
"Plasma urate and progression of mild cognitive impairment","2009","None",FALSE,NA
"REVIEWS IN THE NEUROSCIENCES","2009","None",FALSE,NA
"The ADAS-cog's Performance as a Measure Lessons from the ADNI Study: Part 1-E...","2009","None",FALSE,NA
"A roadmap for the prevention of dementia: the inaugural Leon Thal Symposium","2008","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/77/13/1263.full.pdf"
"Alzheimer Disease Cooperative Study. High-dose B vitamin supplementation and ...","2008","None",FALSE,NA
"Ametropia, preschoolers' cognitive abilities, and effects of spectacle correc...","2008","None",FALSE,NA
"Dimebon investigators: Effect of dimebon on cognition, activities of daily li...","2008","None",FALSE,NA
"Dual Task Test Could Help Diagnose Dementia","2008","None",FALSE,NA
"Effect of dimebon on cognition, activities of daily living, behaviour, and gl...","2008","None",FALSE,NA
"Efficacy of site-independent telemedicine in the STRokE DOC trial: a randomis...","2008","None",FALSE,NA
"High-dose B vitamin supplementation and cognitive decline in Alzheimer diseas...","2008","None",FALSE,NA
"O2-04--06: Randomized clinical trial of antioxidant treatment in Alzheimer's ...","2008","None",FALSE,NA
"P4-337: Dimebon improves cognition, function, and behavior in mild and modera...","2008","None",FALSE,NA
"P4-343: Omega 3 fatty acids and Alzheimer's disease: Trial design and baselin...","2008","None",FALSE,NA
"P4-387: Adding delayed recall to the Alzheimer's disease assessment scale-cog...","2008","None",FALSE,NA
"Statistical treatment of withdrawal in trials of anti-dementia drugs--Authors...","2008","None",FALSE,NA
"Dimebon improves cognition, function, and behavior in patients with mild-mode...","2007","None",FALSE,NA
"P-081: The ACDS home assessment instrument: A pilot study","2007","None",FALSE,NA
"Population Dynamics of Meloidogyne incognita and RotylenchulusTenchulus renif...","2007","None",FALSE,NA
"Potential outcome measures and trial design issues for multiple system atrophy","2007","None",FALSE,NA
"S3--02--01: ADCS homocysteine trial","2007","None",FALSE,NA
"S3--02--03: Results of a one-year randomized, placebo-controlled trial of dim...","2007","None",FALSE,NA
"ADCS Prevention Instrument Project: pharmacoeconomics: assessing health-relat...","2006","None",FALSE,NA
"Cognitive Changes in the Treatment of Mild Cognitive Impairment with Donepezi...","2006","None",FALSE,NA
"Analysis of apoptosis protein expression in early-stage colorectal cancer sug...","2005","None",FALSE,NA
"Cognition in the treatment of mild cognitive impairment with donepezil and vi...","2005","None",FALSE,NA
"Cognitive Outcomes of Corrective Lenses on Low Income Preschoolers With Hyper...","2005","None",FALSE,NA
"Detailed assessment of activities of daily living in moderate to severe Alzhe...","2005","None",FALSE,NA
"Divalproex sodium in nursing home residents with possible or probable Alzheim...","2005","None",FALSE,NA
"Propranolol for disruptive behaviors in nursing home residents with probable ...","2005","None",FALSE,NA
"Sample size considerations in dementia prevention trials: Data from the Alzhe...","2005","None",FALSE,NA
"Self-management of age-related macular degeneration at the 6-month follow-up:...","2005","None",FALSE,NA
"Treatment of MCI with cholinesterase inhibitors: current data","2005","None",FALSE,NA
"Vitamin E and donepezil for the treatment of mild cognitive impairment","2005","None",FALSE,NA
"[O1-04-04]: Operational criteria for patient recruitment in trials of mild co...","2005","None",FALSE,NA
"[O2-01-01]: Donepezil and vitamin E in the progression of mild cognitive impa...","2005","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2013.05.1369"
"A comparison of episodic memory deficits in neuropathologically-confirmed Dem...","2004","None",FALSE,NA
"Distinguished From Alzheimer Disease and Normal Aging for Clinical Trials Mic...","2004","None",FALSE,NA
"Donepezil and vitamin E for mild cognitive impairment","2004","Unpaywall (publisher)",TRUE,"https://www.bmj.com/content/bmj/331/7515/0.7.full.pdf"
"MAP kinase inhibitors reduce Helicobacter pylori-induced interleukin-8 secret...","2004","None",FALSE,NA
"Mild cognitive impairment can be distinguished from Alzheimer disease and nor...","2004","None",FALSE,NA
"P1-003 ADCS Prevention instrument project: assessment of activities of daily ...","2004","None",FALSE,NA
"P1-322 A multicenter, randomized, double-blind, placebo-controlled trial of v...","2004","None",FALSE,NA
"Reliability of monitoring the clinical dementia rating in multicenter clinica...","2004","None",FALSE,NA
"S5-03-02 Prevention trials in Alzheimer's disease: design issues","2004","None",FALSE,NA
"A multicenter, placebo-controlled trial of melatonin for sleep disturbance in...","2003","None",FALSE,NA
"A multicenter, randomized, placebo controlled, multiple-dose, safety and phar...","2003","None",FALSE,NA
"Alzheimer's Disease Cooperative Study. Effects of rofecoxib or naproxen vs pl...","2003","None",FALSE,NA
"Effects of rofecoxib or naproxen vs placebo on Alzheimer disease progression:...","2003","None",FALSE,NA
"Estrogen levels do not correlate with improvement in cognition","2003","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/76/16/1389.full.pdf"
"Fission fragment angular distributions: A probe to study heavy-ion fusion dyn...","2003","Unpaywall (publisher)",TRUE,"https://academic.oup.com/gerontologist/article-pdf/56/Suppl_3/626/7934074/gnw162.2537.pdf"
"Hippocampal volume is associated with memory but not nonmemory cognitive perf...","2003","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1532-5415.1999.tb07439.x"
"Idebenone treatment fails to slow cognitive decline in Alzheimer’s disease","2003","None",FALSE,NA
"NSAIDs and hypertension","2003","None",FALSE,NA
"Reduction of nightmares and other PTSD symptoms in combat veterans by prazosi...","2003","Unpaywall (publisher)",TRUE,"https://jamanetwork.com/journals/jamaophthalmology/articlepdf/262237/ese7484.pdf"
"Self-Management of Age-Related Macular Degeneration and Quality of Life at 6 ...","2003","None",FALSE,NA
"Steroid-induced elevation of glucose in Alzheimer’s disease: relationship to ...","2003","None",FALSE,NA
"A phase I study of AIT-082 in healthy elderly volunteers","2002","None",FALSE,NA
"A randomized trial of the effect of a plant-based dietary pattern on addition...","2002","None",FALSE,NA
"Alzheimer’s disease can be accurately diagnosed in very mildly impaired indiv...","2002","Unpaywall (repository)",TRUE,"https://hdl.handle.net/2027.42/27967"
"Assessing Alzheimer's disease patients with the Cohen-Mansfield Agitation Inv...","2002","None",FALSE,NA
"Brain MRI hippocampal volume and prediction of clinical status in a mild cogn...","2002","None",FALSE,NA
"Clinical correlates of hippocampal atrophy in patients with mild cognitive im...","2002","None",FALSE,NA
"Correlates of weight change in Huntington's disease","2002","None",FALSE,NA
"Decline in verbal memory during preclinical Alzheimer's disease: examination ...","2002","Unpaywall (repository)",TRUE,"https://cris.maastrichtuniversity.nl/ws/files/1427503/guid-dad0dd85-40b6-4e10-b1bf-3de3140dfd69-ASSET1.0.pdf"
"Indomethacin reduces Helicobacter pylori-induced interleukin-8 (IL-8) product...","2002","None",FALSE,NA
"Investigating emergent symptomatology as an outcome measure in a behavioral s...","2002","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2007.04.002"
"No long-term effect of behavioral treatment on psychotropic drug use for agit...","2002","None",FALSE,NA
"Psychosocial and Functional Parameters in Patients with Age Related Macular D...","2002","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/96/9/e1347.full.pdf"
"Results of a multicenter trial of rofecoxib and naproxen in Alzheimer's disease","2002","None",FALSE,NA
"The ADCS clinical trial of melatonin for the sleep disturbance of alzheimer's...","2002","None",FALSE,NA
"Frequency of behavioral symptoms characterizes agitation in Alzheimer's disease","2001","None",FALSE,NA
"Incidence and persistence of psychosis in Alzheimer's disease","2001","None",FALSE,NA
"Metabolic syndrome and ischemic heart disease in elderly men and women","2001","None",FALSE,NA
"A randomized controlled trial of prednisone in Alzheimer’s disease","2000","None",FALSE,NA
"A randomized controlled trial of prednisone in Alzheimer’s disease","2000","None",FALSE,NA
"Analysis of longitudinal data in an Alzheimer's disease clinical trial","2000","None",FALSE,NA
"Comparison of the serial position effect in very mild Alzheimer's disease, mi...","2000","None",FALSE,NA
"Description of behaviors emerging in community-dwelling persons with Alzheime...","2000","None",FALSE,NA
"Disorder among Veterans with Substance Abuse","2000","None",FALSE,NA
"Estrogen replacement therapy for treatment of mild to moderate Alzheimer dise...","2000","None",FALSE,NA
"Incidence of and risk factors for hallucinations and delusions in patients wi...","2000","None",FALSE,NA
"Predicting nursing home placement with change on cognitive measures in Alzhei...","2000","None",FALSE,NA
"Prevalence of symptoms on the CERAD behavior rating scale for dementia in nor...","2000","None",FALSE,NA
"Qualifying change: a method for defining clinically meaningful outcomes of ch...","2000","None",FALSE,NA
"Quantifying behavioral disturbance in Alzheimer's disease patients","2000","None",FALSE,NA
"Treatment of agitation in AD: a randomized, placebo-controlled clinical trial","2000","Unpaywall (publisher)",TRUE,"https://academic.oup.com/sleep/article-pdf/26/7/893/13689646/sleep-26-7-893.pdf"
"Use of brain MRI volumetric analysis in a mild cognitive impairment trial to ...","2000","None",FALSE,NA
"for the Alzheimer's Disease Cooperative Study: Estrogen replacement therapy f...","2000","None",FALSE,NA
"A normative study of Nelson's (1976) modified version of the Wisconsin Card S...","1999","None",FALSE,NA
"Age-related macular degeneration: a randomized clinical trial of a self-manag...","1999","None",FALSE,NA
"Assessment of agitation in Alzheimer's disease: the agitated behavior in deme...","1999","None",FALSE,NA
"Brief Methodological Reports-Assessment of Agitation in Alzheimer's Disease: ...","1999","None",FALSE,NA
"Clinical symptoms of dementia with Lewy bodies: Secondary analyses of the Alz...","1999","None",FALSE,NA
"Ethnic differences in clinical measures among participants in Alzheimer's dis...","1999","None",FALSE,NA
"Mini-mental state examination and Mattis Dementia Rating Scale performance di...","1999","None",FALSE,NA
"Neurochemical markers do not correlate with cognitive decline in the Lewy bod...","1999","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mds.21734"
"Neuropsychological function and apolipoprotein E genotype in the preclinical ...","1999","None",FALSE,NA
"Nursing home placement is related to dementia progression: experience from a ...","1999","None",FALSE,NA
"The Beneficial Effects of Vitamin E and Selegiline in a Controlled Trial in A...","1999","None",FALSE,NA
"Weight gain in infants breastfed by mothers who take fluoxetine","1999","None",FALSE,NA
"A comparison of the Cohen-Mansfield agitation inventory with the cerad behavi...","1998","None",FALSE,NA
"Agreement on CDR ratings by committee","1998","None",FALSE,NA
"Association of CYP2D microsatellite polymorphism with Lewy body variant of Al...","1998","Unpaywall (publisher)",TRUE,"https://www.ijtsrd.com/papers/ijtsrd10828.pdf"
"Cognitive and functional abilities in severely demented Alzheimer's patients","1998","None",FALSE,NA
"Design and baseline characteristics of the veterans affairs non-Q-wave infarc...","1998","None",FALSE,NA
"Dynamic measurement scale development for clinical trials in targeted populat...","1998","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2009.04.277"
"High cerebrospinal fluid tau and low amyloid beta42 levels in the clinical di...","1998","None",FALSE,NA
"Interaction of apolipoprotein E 4 with other genetic and non-genetic risk fac...","1998","None",FALSE,NA
"Measuring cognitive progression in Alzheimer's disease","1998","None",FALSE,NA
"Power calculation for randomized start design","1998","None",FALSE,NA
"Practice effects on the modified Wisconsin card sorting test in normally agin...","1998","None",FALSE,NA
"The electrocardiographic exercise test in a population with reduced workup bi...","1998","None",FALSE,NA
"The psychosocial impact of macular degeneration","1998","None",FALSE,NA
"The relationship between Nursing home placement and measures of change in Alz...","1998","None",FALSE,NA
"Use of the world wide web in data dissemination to central review committees","1998","None",FALSE,NA
"Utility of psychophysiological measurement in the diagnosis of posttraumatic ...","1998","None",FALSE,NA
"53 Power comparisons among different number of categories under ordered polyt...","1997","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2009.04.277"
"A Multicenter Evaluation of New Treatment Efficacy","1997","None",FALSE,NA
"A controlled trial of selegiline, alpha-tocopherol, or both as treatment for ...","1997","Unpaywall (publisher)",TRUE,"https://jamanetwork.com/journals/jama/articlepdf/192426/joc91949.pdf"
"A longitudinal study of behavioral pathology across five levels of dementia s...","1997","None",FALSE,NA
"Alpha-tocopherol and Alzheimer's disease","1997","None",FALSE,NA
"An inventory to assess activities of daily living for clinical trials in Alzh...","1997","None",FALSE,NA
"ApoE genotype influences the CSF level of A $\\beta$ 42 in Alzheimer's disease","1997","None",FALSE,NA
"Assessing patterns of agitation in Alzheimer's disease patients with the Cohe...","1997","None",FALSE,NA
"CSF levels of A beta 432 and tau as aids to diagnosing Alzheimer's disease","1997","Unpaywall (publisher)",TRUE,"https://www.ewadirect.com/proceedings/tns/article/view/4402/pdf"
"Defective Neurite Extension Is Caused by a Mutation in Amyloid /A4 (A ) Prote...","1997","None",FALSE,NA
"Defective neurite extension is caused by a mutation in amyloid beta  protein ...","1997","None",FALSE,NA
"Diagnostic accuracy of dementia with Lewy bodies: A prospective evaluation","1997","Unpaywall (publisher)",TRUE,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2012.05.1216"
"Effects of Selegiline and alpha-Tocopherol on cognitive and functional outcom...","1997","None",FALSE,NA
"Effects of apolipoprotein E on dementia and aging in the Shanghai Survey of D...","1997","Unpaywall (publisher)",TRUE,"https://n.neurology.org/content/neurology/79/4/e33.full.pdf"
"Estrogen, apolipoprotein E, and dementia","1997","None",FALSE,NA
"Genetic association of the low-density lipoprotein receptor-related protein g...","1997","None",FALSE,NA
"P23 use of the world wide web for clinical monitoring in multicenter clinical...","1997","None",FALSE,NA
"Quality of life among elderly adults with macular degeneration","1997","None",FALSE,NA
"Tacrine and nursing home placement","1997","None",FALSE,NA
"The Spanish Instrument Protocol: Design and implementation of a study to eval...","1997","None",FALSE,NA
"Validity and reliability of the Alzheimer’s Disease Cooperative Study-Clinica...","1997","None",FALSE,NA
"for the members of the Alzheimer’s Disease Cooperative Study","1997","None",FALSE,NA
